Study Name	Tungsten_Calibration
Sample Name	2022-01-04
Run Name	spot0
Operator	Angus
Date	1/4/2022
Time	09:20
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	09:20:46
	
Time	Amplitude
1.230000E-8	1.335073E-2
1.235000E-8	1.256106E-2
1.240000E-8	1.184847E-2
1.245000E-8	1.122667E-2
1.250000E-8	1.073677E-2
1.255000E-8	1.040103E-2
1.260000E-8	1.017663E-2
1.265000E-8	1.008756E-2
1.270000E-8	1.011839E-2
1.275000E-8	1.026057E-2
1.280000E-8	1.056890E-2
1.285000E-8	1.108964E-2
1.290000E-8	1.167889E-2
1.295000E-8	1.232981E-2
1.300000E-8	1.311777E-2
1.305000E-8	1.391772E-2
1.310000E-8	1.474679E-2
1.315000E-8	1.558099E-2
1.320000E-8	1.641177E-2
1.325000E-8	1.722885E-2
1.330000E-8	1.805449E-2
1.335000E-8	1.884930E-2
1.340000E-8	1.963897E-2
1.345000E-8	2.037211E-2
1.350000E-8	2.101104E-2
1.355000E-8	2.156947E-2
1.360000E-8	2.209020E-2
1.365000E-8	2.255099E-2
1.370000E-8	2.289871E-2
1.375000E-8	2.316080E-2
1.380000E-8	2.333380E-2
1.385000E-8	2.338519E-2
1.390000E-8	2.334922E-2
1.395000E-8	2.320191E-2
1.400000E-8	2.292441E-2
1.405000E-8	2.253386E-2
1.410000E-8	2.203539E-2
1.415000E-8	2.140502E-2
1.420000E-8	2.067017E-2
1.425000E-8	1.982568E-2
1.430000E-8	1.894865E-2
1.435000E-8	1.801338E-2
1.440000E-8	1.701987E-2
1.445000E-8	1.602465E-2
1.450000E-8	1.500373E-2
1.455000E-8	1.393485E-2
1.460000E-8	1.285226E-2
1.465000E-8	1.178509E-2
1.470000E-8	1.079672E-2
1.475000E-8	9.863165E-3
1.480000E-8	9.006690E-3
1.485000E-8	8.316371E-3
1.490000E-8	7.701422E-3
1.495000E-8	7.244064E-3
1.500000E-8	6.956289E-3
1.505000E-8	6.812401E-3
1.510000E-8	6.822679E-3
1.515000E-8	7.017955E-3
1.520000E-8	7.394804E-3
1.525000E-8	7.920680E-3
