File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau\n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot04-POS-1.txt,5.48E+08,3.56E+03,3.37E-05,8.81E-07,1.93E-08,2.00E-08,2.38E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C40degspot05-POS-1.txt,5.49E+08,3.18E+03,3.29E-05,8.61E-07,2.04E-08,1.99E-08,2.55E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot02-POS-1.txt,5.52E+08,3.25E+03,3.19E-05,9.04E-07,2.00E-08,1.98E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot03-POS-1.txt,5.53E+08,3.15E+03,3.26E-05,8.58E-07,2.02E-08,1.98E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot04-POS-1.txt,5.53E+08,3.25E+03,3.32E-05,4.55E-07,1.90E-08,1.98E-08,2.32E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-7.15e-9C75degspot05-POS-1.txt,5.53E+08,3.60E+03,3.47E-05,8.51E-07,1.93E-08,1.98E-08,2.37E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-06-06.40um-9.00828e-7.14e-9C75degspot01-POS-1.txt,5.53E+08,3.19E+03,3.36E-05,8.79E-07,2.01E-08,1.98E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot01-POS-1.txt,5.48E+08,3.50E+03,4.23E-05,8.01E-07,1.97E-08,2.00E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot02-POS-1.txt,5.48E+08,3.28E+03,4.17E-05,7.23E-07,1.93E-08,2.00E-08,2.36E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot03-POS-1.txt,5.47E+08,3.57E+03,4.44E-05,7.38E-07,1.95E-08,2.00E-08,2.36E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C40degspot05-POS-1.txt,5.46E+08,3.94E+03,4.85E-05,4.58E-07,1.83E-08,2.00E-08,2.21E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot01-POS-1.txt,5.53E+08,3.26E+03,3.20E-05,8.09E-07,2.04E-08,1.98E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot02-POS-1.txt,5.53E+08,3.31E+03,3.24E-05,7.76E-07,1.99E-08,1.98E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot03-POS-1.txt,5.53E+08,3.01E+03,3.38E-05,4.63E-07,2.06E-08,1.98E-08,2.50E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot04-POS-1.txt,5.53E+08,2.87E+03,3.77E-05,6.92E-07,2.03E-08,1.98E-08,2.45E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-07-06.40um-5.4809e-7C75degspot05-POS-1.txt,5.53E+08,3.26E+03,3.66E-05,7.15E-07,2.01E-08,1.98E-08,2.48E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-15-06.40um-5.4809e-7C15degspot01-POS-1.txt,5.53E+08,3.58E+03,3.41E-05,1.03E-06,2.12E-08,1.98E-08,2.72E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-15-06.40um-5.4809e-7C15degspot02-POS-1.txt,5.53E+08,3.62E+03,3.46E-05,1.03E-06,1.97E-08,1.98E-08,2.43E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-15-06.40um-5.4809e-7C15degspot03-POS-1.txt,5.54E+08,4.02E+03,3.65E-05,9.76E-07,1.97E-08,1.98E-08,2.47E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-15-06.40um-5.4809e-7C15degspot04-POS-1.txt,5.53E+08,3.56E+03,3.77E-05,9.22E-07,2.03E-08,1.98E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-15-06.40um-5.4809e-7C15degspot05-POS-1.txt,5.54E+08,3.53E+03,3.47E-05,9.37E-07,1.96E-08,1.98E-08,2.49E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot06-POS-1.txt,5.50E+08,1.14E+04,1.82E-05,1.89E-04,2.15E-08,1.99E-08,2.68E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot07-POS-1.txt,5.50E+08,1.55E+04,1.91E-05,1.42E-04,2.06E-08,1.99E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot08-POS-1.txt,5.50E+08,1.52E+04,1.94E-05,2.98E-04,2.09E-08,1.99E-08,2.56E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot09-POS-1.txt,5.50E+08,1.47E+04,1.48E-05,1.52E-04,2.04E-08,1.99E-08,2.53E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot10-POS-1.txt,5.50E+08,1.48E+04,2.23E-05,8.05E-02,2.14E-08,1.99E-08,2.66E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot11-POS-1.txt,5.50E+08,1.60E+04,1.05E-08,NaN,2.15E-08,1.99E-08,2.69E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis/Cr-single-crystal-2019-08-18-06.40um-0dpaOuterRegion40degSpot12-POS-1.txt,2.96E+07,8.32E+04,4.60E-05,5.58E-05,1.17E-08,3.69E-07,5.06E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
