Study Name	Tungsten_Calibration
Sample Name	2021-12-13
Run Name	spot0
Operator	Ben/Eleni
Date	12/13/2021
Time	14:15
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	14:16:06
	
Time	Amplitude
2.060000E-8	3.641732E-3
2.065000E-8	4.393717E-3
2.070000E-8	5.231349E-3
2.075000E-8	6.134074E-3
2.080000E-8	7.127585E-3
2.085000E-8	8.139939E-3
2.090000E-8	9.155718E-3
2.095000E-8	1.015951E-2
2.100000E-8	1.114103E-2
2.105000E-8	1.210713E-2
2.110000E-8	1.298245E-2
2.115000E-8	1.368990E-2
2.120000E-8	1.428943E-2
2.125000E-8	1.477248E-2
2.130000E-8	1.511165E-2
2.135000E-8	1.533262E-2
2.140000E-8	1.543025E-2
2.145000E-8	1.538058E-2
2.150000E-8	1.522127E-2
2.155000E-8	1.494378E-2
2.160000E-8	1.456864E-2
2.165000E-8	1.409073E-2
2.170000E-8	1.355115E-2
2.175000E-8	1.288995E-2
2.180000E-8	1.215338E-2
2.185000E-8	1.137056E-2
2.190000E-8	1.052608E-2
2.195000E-8	9.602798E-3
2.200000E-8	8.612713E-3
2.205000E-8	7.624341E-3
2.210000E-8	6.635968E-3
2.215000E-8	5.637319E-3
2.220000E-8	4.707187E-3
2.225000E-8	3.876406E-3
2.230000E-8	3.069606E-3
2.235000E-8	2.362158E-3
2.240000E-8	1.718089E-3
2.245000E-8	1.156241E-3
2.250000E-8	6.954576E-4
2.255000E-8	3.699971E-4
2.260000E-8	1.062028E-4
2.265000E-8	-3.939796E-5
2.270000E-8	-9.078646E-5
2.275000E-8	-2.569436E-5
2.280000E-8	1.541654E-4
2.285000E-8	4.470799E-4
2.290000E-8	8.222159E-4
2.295000E-8	1.281287E-3
2.300000E-8	1.889384E-3
2.305000E-8	2.581416E-3
2.310000E-8	3.335114E-3
2.315000E-8	4.198440E-3
2.320000E-8	5.096026E-3
2.325000E-8	6.094676E-3
2.330000E-8	7.089900E-3
2.335000E-8	8.098828E-3
2.340000E-8	9.092339E-3
2.345000E-8	1.002076E-2
2.350000E-8	1.084640E-2
2.355000E-8	1.156070E-2
2.360000E-8	1.220477E-2
2.365000E-8	1.272208E-2
2.370000E-8	1.312120E-2
2.375000E-8	1.343809E-2
2.380000E-8	1.355971E-2
2.385000E-8	1.357684E-2
2.390000E-8	1.347578E-2
2.395000E-8	1.325995E-2
2.400000E-8	1.293277E-2
2.405000E-8	1.246685E-2
2.410000E-8	1.188616E-2
2.415000E-8	1.125066E-2
2.420000E-8	1.053122E-2
2.425000E-8	9.756963E-3
2.430000E-8	8.903914E-3
2.435000E-8	7.966931E-3
2.440000E-8	7.011104E-3
2.445000E-8	6.055278E-3
2.450000E-8	5.070332E-3
2.455000E-8	4.157330E-3
2.460000E-8	3.317984E-3
2.465000E-8	2.500907E-3
2.470000E-8	1.743783E-3
2.475000E-8	1.082584E-3
2.480000E-8	4.779130E-4
2.485000E-8	-3.083321E-5
2.490000E-8	-4.522189E-4
2.495000E-8	-7.811053E-4
2.500000E-8	-1.007215E-3
2.505000E-8	-1.139112E-3
2.510000E-8	-1.133973E-3
2.515000E-8	-9.746687E-4
2.520000E-8	-6.337916E-4
2.525000E-8	-2.209707E-4
2.530000E-8	2.997661E-4
2.535000E-8	9.044375E-4
2.540000E-8	1.610173E-3
2.545000E-8	2.394704E-3
2.550000E-8	3.239188E-3
2.555000E-8	4.075108E-3
2.560000E-8	4.899037E-3
2.565000E-8	5.741808E-3
2.570000E-8	6.500645E-3
2.575000E-8	7.269760E-3
2.580000E-8	7.982347E-3
2.585000E-8	8.679518E-3
2.590000E-8	9.371550E-3
2.595000E-8	1.006016E-2
2.600000E-8	1.068196E-2
2.605000E-8	1.123353E-2
2.610000E-8	1.169431E-2
2.615000E-8	1.207801E-2
2.620000E-8	1.233324E-2
2.625000E-8	1.244458E-2
2.630000E-8	1.247884E-2
2.635000E-8	1.236579E-2
2.640000E-8	1.214310E-2
2.645000E-8	1.181593E-2
2.650000E-8	1.138084E-2
2.655000E-8	1.085154E-2
2.660000E-8	1.027941E-2
2.665000E-8	9.618214E-3
2.670000E-8	8.876507E-3
2.675000E-8	8.030310E-3
2.680000E-8	7.115594E-3
2.685000E-8	6.185463E-3
2.690000E-8	5.181674E-3
2.695000E-8	4.141913E-3
2.700000E-8	3.124421E-3
2.705000E-8	2.161743E-3
2.710000E-8	1.238463E-3
2.715000E-8	3.717100E-4
2.720000E-8	-3.905527E-4
2.725000E-8	-1.024344E-3
2.730000E-8	-1.531377E-3
2.735000E-8	-1.870542E-3
2.740000E-8	-2.079521E-3
2.745000E-8	-2.166882E-3
2.750000E-8	-2.136049E-3
2.755000E-8	-1.957902E-3
2.760000E-8	-1.690682E-3
2.765000E-8	-1.293277E-3
2.770000E-8	-8.239291E-4
2.775000E-8	-2.929146E-4
2.780000E-8	3.374510E-4
2.785000E-8	1.043186E-3
2.790000E-8	1.774616E-3
2.795000E-8	2.499194E-3
2.800000E-8	3.252892E-3
2.805000E-8	4.040849E-3
2.810000E-8	4.763714E-3
2.815000E-8	5.478014E-3
2.820000E-8	6.175185E-3
2.825000E-8	6.850087E-3
2.830000E-8	7.504434E-3
2.835000E-8	8.172485E-3
2.840000E-8	8.804563E-3
2.845000E-8	9.422938E-3
2.850000E-8	9.991638E-3
2.855000E-8	1.047812E-2
2.860000E-8	1.083955E-2
2.865000E-8	1.112390E-2
2.870000E-8	1.131232E-2
2.875000E-8	1.134658E-2
2.880000E-8	1.121468E-2
2.885000E-8	1.092691E-2
2.890000E-8	1.047126E-2
2.895000E-8	9.905990E-3
2.900000E-8	9.212245E-3
2.905000E-8	8.461973E-3
2.910000E-8	7.663738E-3
2.915000E-8	6.803837E-3
2.920000E-8	5.959353E-3
2.925000E-8	5.145702E-3
2.930000E-8	4.338902E-3
2.935000E-8	3.607473E-3
2.940000E-8	2.893173E-3
2.945000E-8	2.219983E-3
2.950000E-8	1.603321E-3
2.955000E-8	1.036335E-3
2.960000E-8	5.018943E-4
2.965000E-8	2.226824E-5
2.970000E-8	-3.819880E-4
2.975000E-8	-6.766154E-4
2.980000E-8	-8.958730E-4
2.985000E-8	-1.053464E-3
2.990000E-8	-1.169945E-3
2.995000E-8	-1.178510E-3
3.000000E-8	-1.070594E-3
3.005000E-8	-8.564751E-4
3.010000E-8	-5.567089E-4
3.015000E-8	-1.404620E-4
3.020000E-8	3.734230E-4
3.025000E-8	9.678167E-4
3.030000E-8	1.680404E-3
3.035000E-8	2.454657E-3
3.040000E-8	3.268309E-3
3.045000E-8	4.128210E-3
3.050000E-8	4.958990E-3
3.055000E-8	5.788058E-3
3.060000E-8	6.608561E-3
3.065000E-8	7.363972E-3
3.070000E-8	8.061143E-3
3.075000E-8	8.693221E-3
3.080000E-8	9.212245E-3
3.085000E-8	9.638770E-3
3.090000E-8	9.993350E-3
3.095000E-8	1.029140E-2
3.100000E-8	1.045927E-2
3.105000E-8	1.057918E-2
3.110000E-8	1.059802E-2
3.115000E-8	1.053464E-2
3.120000E-8	1.038390E-2
3.125000E-8	1.013553E-2
3.130000E-8	9.801500E-3
3.135000E-8	9.378401E-3
3.140000E-8	8.850813E-3
3.145000E-8	8.225586E-3
3.150000E-8	7.524989E-3
3.155000E-8	6.730181E-3
3.160000E-8	5.883983E-3
3.165000E-8	5.042925E-3
3.170000E-8	4.201866E-3
3.175000E-8	3.372799E-3
3.180000E-8	2.567712E-3
3.185000E-8	1.815727E-3
3.190000E-8	1.113417E-3
3.195000E-8	4.830518E-4
3.200000E-8	-5.310156E-5
3.205000E-8	-4.933297E-4
3.210000E-8	-8.547622E-4
3.215000E-8	-1.142538E-3
3.220000E-8	-1.346379E-3
3.225000E-8	-1.464572E-3
3.230000E-8	-1.505683E-3
3.235000E-8	-1.469711E-3
3.240000E-8	-1.348092E-3
3.245000E-8	-1.115131E-3
3.250000E-8	-7.262909E-4
3.255000E-8	-2.929146E-4
3.260000E-8	2.500906E-4
3.265000E-8	8.684656E-4
3.270000E-8	1.558784E-3
3.275000E-8	2.278223E-3
3.280000E-8	2.989098E-3
3.285000E-8	3.677704E-3
3.290000E-8	4.386865E-3
3.295000E-8	5.078897E-3
3.300000E-8	5.753799E-3
3.305000E-8	6.373887E-3
3.310000E-8	6.990549E-3
3.315000E-8	7.554110E-3
3.320000E-8	8.107392E-3
3.325000E-8	8.619565E-3
3.330000E-8	9.085487E-3
3.335000E-8	9.544558E-3
3.340000E-8	9.847750E-3
3.345000E-8	1.012011E-2
3.350000E-8	1.027085E-2
3.355000E-8	1.027256E-2
3.360000E-8	1.012182E-2
3.365000E-8	9.909416E-3
3.370000E-8	9.537706E-3
3.375000E-8	9.004978E-3
3.380000E-8	8.415723E-3
3.385000E-8	7.733969E-3
3.390000E-8	7.000827E-3
3.395000E-8	6.264258E-3
3.400000E-8	5.498570E-3
3.405000E-8	4.753436E-3
3.410000E-8	3.984322E-3
3.415000E-8	3.246040E-3
3.420000E-8	2.632804E-3
3.425000E-8	2.067531E-3
3.430000E-8	1.574201E-3
3.435000E-8	1.087723E-3
3.440000E-8	6.886058E-4
3.445000E-8	3.237474E-4
3.450000E-8	1.541644E-5
3.455000E-8	-2.586556E-4
3.460000E-8	-4.933297E-4
3.465000E-8	-6.680506E-4
3.470000E-8	-8.290679E-4
3.475000E-8	-8.787435E-4
3.480000E-8	-8.376327E-4
3.485000E-8	-7.074485E-4
3.490000E-8	-5.001815E-4
3.495000E-8	-2.004153E-4
3.500000E-8	1.747208E-4
3.505000E-8	7.108742E-4
3.510000E-8	1.289851E-3
3.515000E-8	1.930495E-3
3.520000E-8	2.632804E-3
3.525000E-8	3.386502E-3
3.530000E-8	4.136774E-3
3.535000E-8	4.839084E-3
3.540000E-8	5.553384E-3
3.545000E-8	6.241990E-3
3.550000E-8	6.898050E-3
3.555000E-8	7.432490E-3
3.560000E-8	7.915542E-3
3.565000E-8	8.357483E-3
3.570000E-8	8.706925E-3
3.575000E-8	8.917618E-3
3.580000E-8	9.034098E-3
3.585000E-8	9.052941E-3
3.590000E-8	8.992988E-3
3.595000E-8	8.874794E-3
3.600000E-8	8.693221E-3
3.605000E-8	8.443131E-3
3.610000E-8	8.126235E-3
3.615000E-8	7.742534E-3
3.620000E-8	7.328000E-3
3.625000E-8	6.892911E-3
3.630000E-8	6.416711E-3
3.635000E-8	5.895974E-3
3.640000E-8	5.364959E-3
3.645000E-8	4.794547E-3
3.650000E-8	4.179598E-3
3.655000E-8	3.526964E-3
3.660000E-8	2.886321E-3
3.665000E-8	2.247390E-3
3.670000E-8	1.623877E-3
3.675000E-8	9.866591E-4
3.680000E-8	3.717100E-4
3.685000E-8	-1.712951E-4
3.690000E-8	-6.509211E-4
3.695000E-8	-1.029483E-3
3.700000E-8	-1.318972E-3
3.705000E-8	-1.514248E-3
3.710000E-8	-1.599895E-3
