Study Name	IronIrradiated_Fe3plus
Sample Name	2022-01-04
Run Name	unirradiated_10
Operator	Angus
Date	1/4/2022
Time	12:46
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	12:47:15
	
Time	Amplitude
8.350000E-9	4.462406E-2
8.400000E-9	4.400055E-2
8.450000E-9	4.317319E-2
8.500000E-9	4.217112E-2
8.550000E-9	4.099261E-2
8.600000E-9	3.974900E-2
8.650000E-9	3.839749E-2
8.700000E-9	3.696546E-2
8.750000E-9	3.555056E-2
8.800000E-9	3.415451E-2
8.850000E-9	3.279271E-2
8.900000E-9	3.149944E-2
8.950000E-9	3.028667E-2
9.000000E-9	2.911501E-2
9.050000E-9	2.808039E-2
9.100000E-9	2.723419E-2
9.150000E-9	2.650447E-2
9.200000E-9	2.592378E-2
9.250000E-9	2.555893E-2
9.300000E-9	2.536022E-2
9.350000E-9	2.534823E-2
9.400000E-9	2.553666E-2
9.450000E-9	2.589466E-2
9.500000E-9	2.645309E-2
9.550000E-9	2.716225E-2
9.600000E-9	2.796905E-2
9.650000E-9	2.889918E-2
9.700000E-9	2.990125E-2
9.750000E-9	3.094787E-2
9.800000E-9	3.200304E-2
9.850000E-9	3.310618E-2
9.900000E-9	3.416136E-2
9.950000E-9	3.514288E-2
1.000000E-8	3.604561E-2
1.005000E-8	3.688495E-2
1.010000E-8	3.760610E-2
1.015000E-8	3.818851E-2
1.020000E-8	3.865614E-2
1.025000E-8	3.895591E-2
1.030000E-8	3.913919E-2
1.035000E-8	3.915804E-2
1.040000E-8	3.905869E-2
1.045000E-8	3.890109E-2
1.050000E-8	3.863045E-2
1.055000E-8	3.824675E-2
1.060000E-8	3.781680E-2
1.065000E-8	3.726351E-2
1.070000E-8	3.659546E-2
1.075000E-8	3.580408E-2
1.080000E-8	3.488080E-2
1.085000E-8	3.383761E-2
1.090000E-8	3.264026E-2
1.095000E-8	3.139323E-2
1.100000E-8	3.010510E-2
1.105000E-8	2.878784E-2
1.110000E-8	2.748600E-2
1.115000E-8	2.626124E-2
1.120000E-8	2.511013E-2
1.125000E-8	2.411662E-2
1.130000E-8	2.329612E-2
1.135000E-8	2.268802E-2
1.140000E-8	2.224779E-2
1.145000E-8	2.198229E-2
1.150000E-8	2.194289E-2
1.155000E-8	2.206108E-2
